stationID,obsTimeUtc,obsTimeLocal,solarRadiation,lon,epoch,lat,uv,winddir,humidity,imperial.temp,imperial.heatIndex,imperial.dewpt,imperial.windChill,imperial.windSpeed,imperial.windGust,imperial.pressure,imperial.precipRate,imperial.precipTotal
KTXDALLA724,2022-08-09T05:00:57Z,2022-08-09 00:00:57,0,-96.838997,1660021257,32.754002,0,125,46,91,94,67,91,1,1,30.15,0,0
KTXDALLA724,2022-08-09T12:59:52Z,2022-08-09 07:59:52,27.65,-96.838997,1660049992,32.754002,0,93,71,82,86,72,82,0,0,30.21,0,0
KTXDALLA724,2022-08-09T13:59:52Z,2022-08-09 08:59:52,209.93,-96.838997,1660053592,32.754002,2,100,68,84,90,72,84,0,0,30.22,0,0
KTXDALLA724,2022-08-09T14:59:52Z,2022-08-09 09:59:52,346.09,-96.838997,1660057192,32.754002,3,92,60,88,96,73,88,1,1,30.23,0,0
KTXDALLA724,2022-08-09T15:59:52Z,2022-08-09 10:59:52,667.1,-96.838997,1660060792,32.754002,6,125,55,91,100,73,91,1,1,30.22,0,0
KTXDALLA724,2022-08-09T16:59:52Z,2022-08-09 11:59:52,740.87,-96.838997,1660064392,32.754002,7,95,46,96,105,72,96,1,1,30.22,0,0
KTXDALLA724,2022-08-09T17:59:52Z,2022-08-09 12:59:52,796.41,-96.838997,1660067992,32.754002,7,114,42,98,107,72,98,1,1,30.21,0,0
KTXDALLA724,2022-08-09T18:59:52Z,2022-08-09 13:59:52,850.6,-96.838997,1660071592,32.754002,8,119,38,101,109,71,101,1,1,30.18,0,0
KTXDALLA724,2022-08-09T19:59:52Z,2022-08-09 14:59:52,836.78,-96.838997,1660075192,32.754002,8,113,37,101,109,70,101,1,1,30.15,0,0
KTXDALLA724,2022-08-09T20:59:52Z,2022-08-09 15:59:52,785.52,-96.838997,1660078792,32.754002,7,84,65,89,97,74,89,1,1,30.17,0.73,0.14
KTXDALLA724,2022-08-09T21:59:52Z,2022-08-09 16:59:52,19.94,-96.838997,1660082392,32.754002,0,102,91,76,78,74,76,0,1,30.17,0.07,0.16
KTXDALLA724,2022-08-09T22:59:52Z,2022-08-09 17:59:52,34.25,-96.838997,1660085992,32.754002,0,103,91,76,78,74,76,0,0,30.14,0,0.16
KTXDALLA724,2022-08-09T23:59:52Z,2022-08-09 18:59:52,34.62,-96.838997,1660089592,32.754002,0,89,90,77,79,74,77,0,0,30.13,0,0.16
KTXDALLA724,2022-08-10T00:59:51Z,2022-08-09 19:59:51,21.16,-96.838997,1660093191,32.754002,0,90,87,79,83,75,79,0,0,30.14,0,0.16
KTXDALLA724,2022-08-10T01:59:51Z,2022-08-09 20:59:51,2.57,-96.838997,1660096791,32.754002,0,107,85,80,85,75,80,0,0,30.15,0,0.16
KTXDALLA724,2022-08-10T02:59:51Z,2022-08-09 21:59:51,0,-96.838997,1660100391,32.754002,0,90,83,79,82,73,79,0,0,30.17,0,0.16
KTXDALLA724,2022-08-10T03:59:51Z,2022-08-09 22:59:51,0,-96.838997,1660103991,32.754002,0,100,76,79,82,71,79,0,0,30.18,0,0.16
KTXDALLA724,2022-08-10T04:59:51Z,2022-08-09 23:59:51,0,-96.838997,1660107591,32.754002,0,104,74,79,83,71,79,0,0,30.18,0,0.16
KTXDALLA724,2022-08-10T05:00:55Z,2022-08-10 00:00:55,0,-96.838997,1660107655,32.754002,0,101,74,80,83,71,80,0,0,30.18,0,0
KTXDALLA724,2022-08-10T12:59:51Z,2022-08-10 07:59:51,36.33,-96.838997,1660136391,32.754002,0,90,88,77,78,73,77,0,0,30.23,0,0
KTXDALLA724,2022-08-10T13:59:51Z,2022-08-10 08:59:51,197.81,-96.838997,1660139991,32.754002,1,101,82,80,84,74,80,0,0,30.24,0,0
KTXDALLA724,2022-08-10T14:59:51Z,2022-08-10 09:59:51,509.28,-96.838997,1660143591,32.754002,4,112,67,87,96,75,87,0,1,30.24,0,0
KTXDALLA724,2022-08-10T15:59:51Z,2022-08-10 10:59:51,644.59,-96.838997,1660147191,32.754002,6,99,56,92,103,75,92,0,1,30.24,0,0
KTXDALLA724,2022-08-10T16:59:51Z,2022-08-10 11:59:51,726.19,-96.838997,1660150791,32.754002,7,110,52,95,106,75,95,1,1,30.24,0,0
KTXDALLA724,2022-08-10T17:59:51Z,2022-08-10 12:59:51,855,-96.838997,1660154391,32.754002,8,104,48,96,107,74,96,1,1,30.23,0,0
KTXDALLA724,2022-08-10T18:59:51Z,2022-08-10 13:59:51,60.19,-96.838997,1660157991,32.754002,0,94,54,92,102,73,92,0,1,30.2,0,0
KTXDALLA724,2022-08-10T19:59:51Z,2022-08-10 14:59:51,97.5,-96.838997,1660161591,32.754002,0,99,50,93,100,72,93,0,0,30.18,0,0
KTXDALLA724,2022-08-10T20:59:51Z,2022-08-10 15:59:51,70.71,-96.838997,1660165191,32.754002,0,122,57,89,97,72,89,1,2,30.17,0,0
KTXDALLA724,2022-08-10T21:59:51Z,2022-08-10 16:59:51,65.94,-96.838997,1660168791,32.754002,0,121,70,83,88,72,83,1,2,30.18,0,0
KTXDALLA724,2022-08-10T22:55:02Z,2022-08-10 17:55:02,82.33,-96.838997,1660172102,32.754002,0,111,73,82,87,73,82,1,1,30.22,0,0
